2021-02-13 22:12:47.938 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :35180c1dbb544652ac9374626eac6abd , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:48.915 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :5360b44524f5418fa0ad4a789c57d644 , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:48.915 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :5e64e0fcedb14612bd8fcc5239c39139 , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:49.590 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :9428df346d54490a8aa6ad97704a09f7 , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:49.592 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :022b1a7c14564bb8b820d8d283083754 , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:49.712 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :0deda59f35ce4cd0a1a8918f288c5dc1 , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:49.714 PM ERROR  [main] corebackend.odp.CoordinateValidatorService :? ====== PID: 0deda59f35ce4cd0a1a8918f288c5dc1, Internal Server Error, user: null, request action: '', from:  , Ajax: , controller: null, action: null, params: null, browser: null
2021-02-13 22:12:50.234 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :da86b30a9b93457e9c7c74cf3d1f4768 , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:50.259 PM ERROR  [main] corebackend.common.LoggerService :? ====== Generate log is error, PID :9b5ab7b4e3a74b11a8dfb74a65e845d0 , ErrorMessage : No thread-bound request found: Are you referring to request attributes outside of an actual web request, or processing a request outside of the originally receiving thread? If you are actually operating within a web request and still receive this message, your code is probably running outside of DispatcherServlet/DispatcherPortlet: In this case, use RequestContextListener or RequestContextFilter to expose the current request. 
2021-02-13 22:12:52.472 PM ERROR  [http-nio-8080-exec-2] corebackend.CustomSystemFilterInterceptor :? ====== PID: efe61ee9e73b441e9996de4c8082457b, Error parsing JSON, user: , request action: '///', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: application, action: index, params: [:], browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36
2021-02-13 22:12:52.736 PM ERROR  [http-nio-8080-exec-3] corebackend.CustomSystemFilterInterceptor :? ====== PID: 47939aa1d0484bf9a3fb48ecc0993979, Error parsing JSON, user: , request action: '/error//favicon.ico', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: favicon, action: null, params: [:], browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36
2021-02-13 22:13:02.314 PM ERROR  [http-nio-8080-exec-5] corebackend.CustomSystemFilterInterceptor :? ====== PID: 682aaf95b59d4a5fb2bf10882c992af2, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:13:08.340 PM ERROR  [http-nio-8080-exec-10] corebackend.CustomSystemFilterInterceptor :? ====== PID: 5a7de1a2c099491c8e18cafc354f0331, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:13:27.167 PM ERROR  [http-nio-8080-exec-7] corebackend.CustomSystemFilterInterceptor :? ====== PID: 2c692ea40b9b4725a039914d8c425b5c, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:14:35.611 PM ERROR  [http-nio-8080-exec-2] corebackend.CustomSystemFilterInterceptor :? ====== PID: 883bc64dce414a239cbb2d6f5767c2d7, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:15:11.068 PM ERROR  [http-nio-8080-exec-3] corebackend.CustomSystemFilterInterceptor :? ====== PID: 0553eb1df97b4f66a53b1f80bfdfd405, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:15:12.425 PM ERROR  [http-nio-8080-exec-4] corebackend.CustomSystemFilterInterceptor :? ====== PID: eb72a5a3d9ad4a6b85dcad4bcbe5959e, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:15:12.801 PM ERROR  [http-nio-8080-exec-5] corebackend.CustomSystemFilterInterceptor :? ====== PID: 661d9526523e438aaf3b0fcf73b7d056, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:15:13.486 PM ERROR  [http-nio-8080-exec-10] corebackend.CustomSystemFilterInterceptor :? ====== PID: 0bfb5d40dcd2491a93db1a1081f4568a, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
2021-02-13 22:15:38.602 PM ERROR  [http-nio-8080-exec-7] corebackend.CustomSystemFilterInterceptor :? ====== PID: 164f2f7bd743439097b3b6a77f92201b, Error parsing JSON, user: , request action: '/api/v1/login//api/v1/login', from: 0:0:0:0:0:0:0:1/0:0:0:0:0:0:0:1 , Ajax: false, controller: auth, action: login, params: [action:login, controller:auth], browser: PostmanRuntime/7.26.10
